iter	Passed	Remaining
400	31452	360726
401	31536	360704
402	31619	360684
403	31690	360514
404	31753	360264
405	31824	360103
406	31891	359892
407	31962	359737
408	32033	359569
409	32103	359407
410	32169	359181
411	32236	358981
412	32307	358826
413	32373	358613
414	32437	358376
415	32512	358266
416	32578	358052
417	32642	357816
418	32711	357642
419	32776	357418
420	32841	357203
421	32907	356996
422	32975	356804
423	33050	356695
424	33120	356532
425	33187	356332
426	33271	356322
427	33332	356067
428	33393	355810
429	33461	355624
430	33528	355430
431	33594	355230
432	33659	355022
433	33721	354771
434	33784	354540
435	33851	354352
436	33913	354111
437	33987	353999
438	34057	353840
439	34119	353603
440	34197	353527
441	34266	353361
442	34329	353137
443	34401	353000
444	34476	352903
445	34548	352767
446	34612	352548
447	34673	352310
448	34744	352166
449	34817	352047
450	34890	351926
451	34956	351729
452	35025	351574
453	35109	351562
454	35182	351443
455	35263	351398
456	35328	351199
457	35403	351096
458	35472	350939
459	35539	350760
460	35613	350652
461	35674	350414
462	35739	350220
463	35810	350076
464	35875	349886
465	35944	349726
466	36028	349717
467	36090	349494
468	36155	349299
469	36233	349231
470	36316	349213
471	36403	349227
472	36486	349206
473	36563	349127
474	36631	348965
475	36705	348856
476	36784	348795
477	36847	348583
478	36920	348471
479	36997	348392
480	37061	348192
481	37133	348071
482	37200	347894
483	37273	347780
484	37368	347870
485	37440	347751
486	37517	347674
487	37626	347891
488	37692	347715
489	37762	347573
490	37834	347444
491	37907	347335
492	37979	347205
493	38052	347093
494	38114	346882
495	38198	346864
496	38269	346736
497	38341	346611
498	38412	346478
499	38473	346259
500	38548	346163
501	38615	346003
502	38692	345924
503	38756	345731
504	38826	345590
505	38891	345414
506	38960	345266
507	39035	345169
508	39106	345041
509	39173	344879
510	39238	344698
511	39314	344613
512	39380	344441
513	39460	344394
514	39539	344338
515	39613	344241
516	39682	344096
517	39754	343973
518	39825	343846
519	39889	343664
520	39961	343548
521	40027	343375
522	40091	343194
523	40159	343039
524	40231	342924
525	40294	342733
526	40359	342561
527	40424	342386
528	40491	342228
529	40561	342093
530	40632	341974
531	40707	341885
532	40780	341777
533	40847	341619
534	40920	341511
535	40998	341452
536	41068	341323
537	41138	341186
538	41230	341238
539	41312	341208
540	41392	341162
541	41468	341081
542	41550	341048
543	41613	340866
544	41678	340693
545	41745	340539
546	41817	340426
547	41897	340381
548	41983	340375
549	42055	340268
550	42130	340176
551	42201	340056
552	42271	339931
553	42339	339784
554	42405	339626
555	42471	339470
556	42541	339337
557	42611	339215
558	42679	339072
559	42752	338964
560	42824	338854
