iter	MultiClass
0	0.6931116241
1	0.6930729563
2	0.6930378018
3	0.6930066043
4	0.6929668889
5	0.6929313027
6	0.6928869802
7	0.6928500909
8	0.6928190463
9	0.6927773146
10	0.6927489112
11	0.6927161537
12	0.6926769368
13	0.6926365211
14	0.6926020267
15	0.6925638712
16	0.6925261988
17	0.6924801671
18	0.6924447797
19	0.692404914
20	0.6923673521
21	0.692324507
22	0.6922822302
23	0.692243152
24	0.6922138454
25	0.6921801323
26	0.6921521188
27	0.6921293799
28	0.6920964816
29	0.6920687213
30	0.6920237279
31	0.6919937036
32	0.6919634612
33	0.6919242976
34	0.6918932919
35	0.6918543052
36	0.691828199
37	0.6917870477
38	0.6917554601
39	0.691723236
40	0.6916931415
41	0.6916507052
42	0.6916235051
43	0.6915851591
44	0.6915559147
45	0.6915192827
46	0.691480025
47	0.6914404082
48	0.6914105297
49	0.6913790764
50	0.6913440203
51	0.6913039021
52	0.6912687152
53	0.6912366585
54	0.6912002608
55	0.6911643615
56	0.6911306516
57	0.6910940264
58	0.6910547676
59	0.6910201938
60	0.6909840938
61	0.6909494189
62	0.6909202501
63	0.6908895677
64	0.6908494546
65	0.6908064489
66	0.6907694742
67	0.6907400212
68	0.690700258
69	0.6906711624
70	0.6906380454
71	0.6906066544
72	0.6905787214
73	0.6905451697
74	0.6905085003
75	0.690478729
76	0.6904406215
77	0.6904125954
78	0.690373948
79	0.6903408081
80	0.6903039556
81	0.6902709069
82	0.6902473561
83	0.6902088285
84	0.6901759786
85	0.6901491008
86	0.6901223274
87	0.6900980459
88	0.690064958
89	0.6900239047
90	0.6899856858
91	0.6899558465
92	0.6899273339
93	0.6898928625
94	0.6898622784
95	0.6898328554
96	0.6897992781
97	0.6897590514
98	0.6897279158
99	0.6897048895
100	0.6896768432
101	0.689650475
102	0.6896234434
103	0.689589384
104	0.6895579227
105	0.6895129155
106	0.6894840737
107	0.6894546231
108	0.6894271604
109	0.6893951252
110	0.6893607061
111	0.6893301439
112	0.6893000631
113	0.689266586
114	0.689231581
115	0.6892092806
116	0.6891759529
117	0.6891447639
118	0.6891154639
119	0.6890840231
120	0.6890615307
121	0.6890267361
122	0.688991636
123	0.6889569376
124	0.6889280629
125	0.688888357
126	0.688860386
127	0.6888284302
128	0.6887876085
129	0.6887585242
130	0.6887232876
131	0.6886888442
132	0.6886589553
133	0.688628729
134	0.6886016367
135	0.6885662327
136	0.6885268354
137	0.6884935443
138	0.6884521342
139	0.6884127845
140	0.6883892731
141	0.688352998
142	0.6883198522
143	0.6882884414
144	0.6882472818
145	0.6882106169
146	0.6881716535
147	0.6881363947
148	0.6881032973
149	0.6880591639
150	0.6880308323
151	0.6880107116
152	0.6879739472
153	0.6879464748
154	0.6879039019
155	0.6878752652
156	0.6878517846
157	0.6878111216
158	0.6877846968
159	0.6877577792
160	0.6877331457
161	0.6876966958
162	0.6876752441
163	0.6876415069
164	0.6876098307
165	0.6875783645
166	0.6875434086
167	0.6875159797
168	0.6874888356
169	0.6874601626
170	0.6874261566
171	0.6874002533
172	0.6873656275
173	0.6873330681
174	0.6873014495
175	0.6872718211
176	0.687233048
177	0.6872039532
178	0.6871754732
179	0.6871369186
180	0.6871019631
181	0.687068585
182	0.687036828
183	0.6870051768
184	0.6869797748
185	0.6869541207
186	0.6869268254
187	0.686889552
188	0.6868653454
189	0.6868344374
190	0.6868040546
191	0.6867642411
192	0.6867267676
193	0.6866963161
194	0.6866708596
195	0.6866409023
196	0.6866130988
197	0.6865828314
198	0.686546052
199	0.686513216
200	0.6864726375
201	0.6864420888
202	0.6864076829
203	0.6863641797
204	0.6863446974
205	0.6863270029
206	0.686291212
207	0.6862562246
208	0.6862236667
209	0.6861975075
210	0.6861696813
211	0.6861454964
212	0.6861147479
213	0.6860883113
214	0.6860553337
215	0.6860311701
216	0.6859996759
217	0.6859635014
218	0.6859334594
219	0.6858989809
220	0.6858729993
221	0.6858461797
222	0.6858082783
223	0.6857805573
224	0.6857432047
225	0.6857108413
226	0.6856829654
227	0.6856513204
228	0.6856216364
229	0.6855913885
230	0.6855533616
231	0.6855205593
232	0.6854939166
233	0.685465452
234	0.6854336942
235	0.685411454
236	0.6853788858
237	0.6853518017
238	0.6853280619
239	0.6852939197
240	0.6852580746
241	0.6852270248
242	0.685187766
243	0.6851559315
244	0.6851263977
245	0.685089021
246	0.6850656399
247	0.6850357047
248	0.685000253
249	0.6849728133
250	0.6849403411
251	0.6849149722
252	0.6848774561
253	0.6848493308
254	0.6848182013
255	0.684793621
256	0.6847664705
257	0.6847358028
258	0.6847062559
259	0.684679196
260	0.6846468459
261	0.6846170584
262	0.6845871792
263	0.6845585728
264	0.6845277007
265	0.6845013152
266	0.6844746095
267	0.6844456127
268	0.6844130287
269	0.6843877768
270	0.6843607074
271	0.6843292387
272	0.6842896343
273	0.6842622003
274	0.6842341307
275	0.6842023223
276	0.6841683169
277	0.6841452298
278	0.6841162119
279	0.6840864048
280	0.6840439458
281	0.6840182446
282	0.6839944234
283	0.683958344
284	0.6839261058
285	0.6838994
286	0.6838704113
287	0.6838338318
288	0.6837992955
289	0.6837689718
290	0.6837378517
291	0.6837146821
292	0.6836832936
293	0.6836598628
294	0.6836312379
295	0.6835919169
296	0.6835641241
297	0.6835309123
298	0.6835000755
299	0.6834712818
300	0.6834455169
301	0.6834168382
302	0.6834001489
303	0.6833749682
304	0.6833522685
305	0.6833240164
306	0.6832911423
307	0.6832585809
308	0.6832377072
309	0.6832123251
310	0.6831917048
311	0.683160534
312	0.683139626
313	0.6831133868
314	0.6830853906
315	0.6830488321
316	0.6830126466
317	0.6829873674
318	0.6829612291
319	0.6829423327
320	0.682916604
321	0.6828771042
322	0.682852012
323	0.6828253468
324	0.6827994032
325	0.6827625131
326	0.682734701
327	0.6827046687
328	0.682671392
329	0.6826408229
330	0.6826090235
331	0.682579385
332	0.6825532785
333	0.6825230825
334	0.6825028427
335	0.6824800603
336	0.6824426627
337	0.6824165371
338	0.6823844178
339	0.6823536667
340	0.6823351474
341	0.682298134
342	0.6822670234
343	0.6822394836
344	0.6822191832
345	0.6821954511
346	0.6821714482
347	0.6821388882
348	0.6821160083
349	0.682090308
350	0.6820745477
351	0.6820449934
352	0.682021141
353	0.6819958219
354	0.6819716575
355	0.6819437616
356	0.6819156022
357	0.6818912834
358	0.6818643675
359	0.6818447452
360	0.6818181434
361	0.681780328
362	0.6817550898
363	0.681731779
364	0.6817119815
365	0.6816827109
366	0.6816551039
367	0.6816353038
368	0.6816022864
369	0.6815743658
370	0.68154795
371	0.6815224937
372	0.6814955155
373	0.6814689739
374	0.681447147
375	0.6814264939
376	0.6813908026
377	0.681365621
378	0.6813453996
379	0.6813113421
380	0.6812785549
381	0.6812529584
382	0.6812179846
383	0.6811906738
384	0.6811564798
385	0.6811235382
386	0.6810982335
387	0.6810646451
388	0.6810262295
389	0.6809964467
390	0.6809754682
391	0.6809444721
392	0.6809152534
393	0.6808936744
394	0.6808649629
395	0.6808351615
396	0.6808056947
397	0.6807881778
398	0.6807658549
399	0.6807340098
400	0.6807045017
401	0.6806758323
402	0.6806481043
403	0.6806152582
404	0.6805899412
405	0.6805712202
406	0.6805415515
407	0.6805152711
408	0.6804913849
409	0.6804680532
410	0.6804494649
411	0.6804326363
412	0.6804101528
413	0.6803848615
414	0.6803576333
415	0.6803308967
416	0.6803012551
417	0.6802722218
418	0.6802456794
419	0.6802202626
420	0.6801963595
421	0.6801643267
422	0.6801273629
423	0.6801069064
424	0.6800801595
425	0.6800457679
426	0.6800277677
427	0.6800058669
428	0.6799795626
429	0.6799539468
430	0.6799284231
431	0.679900001
432	0.6798720889
433	0.679849691
434	0.6798266803
435	0.6797965982
436	0.6797676449
437	0.6797494388
438	0.6797161267
439	0.6796867397
440	0.6796638561
441	0.679644555
442	0.6796198942
443	0.6795923984
444	0.6795642921
